,2022 Ranking,company_name,CEO,salary,median_worker_pay,Total Employees,Year Founded,Revenue (Billions),Profits (Billions),Assets (Billions),Market Value (Billions),Industry,industry,CEO Salary to Worker Pay Ratio
38,153,Deere & Company,John C. May,"$19,912,826 ","$82,240 ",75600,1837,44.46,5.64,79.61,123.81,Capital Goods,Industrials,24213.07
39,159,Danaher,Rainer M. Blair,"$17,152,267 ","$66,203 ",80000,1984,30.28,6.46,83.39,189.4,Conglomerates,Health%20Care,25908.59
40,163,FedEx,Frederick W. Smith,"$10,596,150 ","$39,177 ",600000,1971,91.55,5.13,84.11,53.19,Transportation,Industrials,27046.86
41,166,Broadcom,Hock E. Tan,"$60,703,627 ","$247,541 ",20000,1961,28.5,7.83,73.22,239.64,Semiconductors,Information%20Technology,24522.66
42,172,Lockheed Martin,James D. Taiclet,"$18,111,211 ","$110,113 ",114000,1912,65.75,6.21,51.51,118.82,Aerospace & Defense,Industrials,16447.84
43,173,BlackRock,Laurence Douglas Fink,"$32,587,335 ","$164,492 ",18400,1988,20.3,6.14,152.65,100.8,Diversified Financials,Financials,19810.89
44,175,Duke Energy,Lynn J. Good,"$16,451,236 ","$115,895 ",27605,1904,25.1,3.91,174.18,87.98,Utilities,Utilities,14194.95
45,176,Dell Technologies,Michael Dell,"$3,467,347 ","$70,562 ",133000,1984,106.84,5.56,92.74,35.64,Technology Hardware & Equipment,Information%20Technology,4913.9
46,185,Honeywell International,Darius Adamczyk,"$26,100,120 ","$75,529 ",99000,1906,34.39,5.54,64.47,130.67,Conglomerates,Industrials,34556.42
47,191,Micron Technology,Sanjay Mehrotra,"$28,840,809 ","$48,310 ",43000,1978,31.17,9.02,63.7,77.51,Semiconductors,Information%20Technology,59699.46
48,195,HCA Healthcare,Samuel N. Hazen,"$20,635,260 ","$56,044 ",284000,1968,59.72,6.81,52.21,63.62,Health Care Equipment & Services,Health%20Care,36819.75
49,196,Dow,Jim Fitterling,"$24,858,892 ","$95,607 ",35700,1897,58.35,6.85,63.34,50.35,Chemicals,Materials,26001.12
50,207,Gilead Sciences,Daniel O'Day,"$19,229,466 ","$211,687 ",14400,1987,27.37,6.22,67.95,78.17,Drugs & Biotechnology,Health%20Care,9083.91
51,209,NVIDIA,Jensen Huang,"$23,737,661 ","$217,542 ",22473,1993,26.91,9.75,44.19,489.83,Semiconductors,Information%20Technology,10911.76
52,210,Amgen,Robert A. Bradway,"$21,721,154 ","$130,589 ",24200,1980,25.99,5.89,61.16,133.63,Drugs & Biotechnology,Health%20Care,16633.22
53,211,Union Pacific,Lance M. Fritz,"$14,523,819 ","$89,878 ",29905,1862,22.66,6.81,64.05,147.23,Transportation,Industrials,16159.48
54,215,Philip Morris International,Jacek Olczak,"$10,557,568 ","$18,196 ",69600,1847,31.51,9.0,41.73,159.18,"Food, Drink & Tobacco",Consumer%20Staples,58021.37
55,216,PayPal,Dan Schulman,"$32,070,353 ","$83,905 ",30900,1998,25.56,4.17,75.8,100.22,Business Services & Supplies,Information%20Technology,38222.22
56,222,Mondelez International,Dirk van de Put,"$16,128,320 ","$31,024 ",79000,2012,28.72,4.3,67.09,89.98,"Food, Drink & Tobacco",Consumer%20Staples,51986.59
57,223,McDonald's,Christopher J. Kempczinski,"$20,028,132 ","$8,897 ",200000,1955,23.22,7.55,53.85,185.03,"Hotels, Restaurants & Leisure",Consumer%20Discretionary,225111.07
58,236,Northrop Grumman,Kathy Warden,"$19,876,767 ","$119,721 ",88000,1994,35.67,7.0,42.58,69.84,Aerospace & Defense,Industrials,16602.57
59,238,Marathon Petroleum,Michael J. Hennigan,"$21,185,206 ","$148,850 ",17700,2009,119.78,1.72,85.37,48.64,Oil & Gas Operations,Energy,14232.59
60,241,Netflix,Reed Hastings Ted Sarandos,"$40,823,725 ","$201,743 ",11300,1997,30.4,5.01,45.33,95.68,Media,Communication%20Services,20235.51
61,248,Exelon,Chris M. Crane,"$15,757,378 ","$160,633 ",31518,2000,39.27,1.71,133.01,47.68,Utilities,Utilities,9809.55
62,248,Humana,Bruce D. Broussard,"$16,528,036 ","$64,797 ",96900,1961,84.09,2.93,44.75,56.34,Drugs & Biotechnology,Health%20Care,25507.41
63,250,General Dynamics,Phebe N. Novakovic,"$23,553,862 ","$92,585 ",103100,1952,38.47,3.26,50.07,66.42,Aerospace & Defense,Industrials,25440.26
64,256,NextEra Energy,James L. Robo,"$25,335,936 ","$132,798 ",15000,1984,23.74,1.46,144.94,145.27,Utilities,Utilities,19078.55
65,259,HP,Enrique Lores,"$20,733,806 ","$67,667 ",51000,1939,64.98,6.52,38.91,38.75,Technology Hardware & Equipment,Information%20Technology,30640.94
66,269,Centene,Sarah London,"$20,637,990 ","$71,217 ",72500,1984,125.98,1.35,79.76,49.2,Drugs & Biotechnology,Health%20Care,28979.02
67,271,Freeport-McMoRan,Richard Adkerson,"$19,111,894 ","$77,036 ",24700,1897,24.31,5.11,48.83,60.97,Materials,Materials,24809.04
68,276,Occidental Petroleum,Vicki A. Hollub,"$11,068,539 ","$157,013 ",11678,1920,25.96,2.31,78.47,53.05,Oil & Gas Operations,Energy,7049.44
69,278,McKesson,Brian S. Tyler,"$18,152,082 ","$62,610 ",76000,1833,257.01,1.41,63.71,47.66,Drugs & Biotechnology,Health%20Care,28992.3
70,290,Dominion Energy,Robert M. Blue,"$8,161,083 ","$110,406 ",17100,1983,13.96,3.29,99.59,68.82,Utilities,Utilities,7391.88
71,300,AmerisourceBergen,Steven H. Collis,"$14,873,815 ","$65,076 ",42000,1969,221.1,1.61,57.58,33.25,Drugs & Biotechnology,Health%20Care,22856.07
72,303,Starbucks,Howard Schultz,"$20,425,162 ","$12,935 ",383000,1971,30.36,4.39,28.83,89.63,"Hotels, Restaurants & Leisure",Consumer%20Discretionary,157906.16
73,304,Nucor,Leon J. Topalian,"$11,618,019 ","$142,635 ",28800,1905,39.96,7.95,28.63,43.29,Materials,Materials,8145.28
74,310,Blackstone,Stephen Allen Schwarzman,"$86,380,331 ","$220,000 ",3795,1985,15.47,5.33,43.34,132.17,Diversified Financials,Financials,39263.79
75,315,EOG Resources,Ezra Y. Yacob,"$9,752,887 ","$185,838 ",2800,1985,19.78,4.66,38.24,67.97,Oil & Gas Operations,Energy,5248.06
76,317,Automatic Data Processing,Carlos Rodriguez,"$20,827,092 ","$62,238 ",56000,1949,15.7,2.74,59.1,93.89,Business Services & Supplies,Information%20Technology,33463.63
77,318,Phillips 66,Greg C. Garland,"$20,953,206 ","$161,584 ",14000,2012,111.7,1.31,55.59,40.23,Oil & Gas Operations,Energy,12967.38
78,319,Tyson Foods,Donnie King,"$12,014,497 ","$41,967 ",137000,1935,49.52,3.7,36.82,33.74,"Food, Drink & Tobacco",Consumer%20Staples,28628.44
79,323,Altria Group,Billy Gifford,"$12,626,972 ","$142,614 ",6000,1919,21.11,2.46,39.52,100.66,"Food, Drink & Tobacco",Consumer%20Staples,8853.95
80,324,Applied Materials,Gary E. Dickerson,"$35,265,559 ","$109,304 ",27000,1967,24.15,6.55,25.43,99.65,Semiconductors,Information%20Technology,32263.74
81,334,Discover Financial Services,Roger C. Hochschild,"$12,087,218 ","$63,770 ",16700,1985,12.8,5.42,110.61,31.69,Business Services & Supplies,Financials,18954.4
82,341,Ameriprise Financial,James Michael Cracchiolo,"$21,229,464 ","$129,010 ",12000,1894,13.89,2.76,175.98,30.97,Diversified Financials,Financials,16455.67
83,357,DuPont de Nemours,Edward D. Breen,"$15,106,986 ","$108,955 ",28000,2017,16.65,6.47,45.71,34.51,Chemicals,Materials,13865.34
84,360,Dollar General,Todd Vasos,"$16,618,873 ","$17,773 ",163000,1939,34.22,2.4,29.06,56.92,Retailing,Consumer%20Discretionary,93506.29
85,369,Valero Energy,Joseph W. Gorder,"$22,684,706 ","$198,219 ",9813,1980,114.0,0.92,58.54,42.19,Oil & Gas Operations,Energy,11444.26
86,370,CSX,James M. Foote,"$20,006,806 ","$107,772 ",20900,1827,13.12,3.93,40.45,75.34,Transportation,Industrials,18564.01
87,374,Moderna,Stéphane Bancel,"$18,155,739 ","$133,074 ",2700,2010,18.4,12.2,24.87,56.56,Drugs & Biotechnology,Health%20Care,13643.34
88,377,Adobe,Shantanu Narayen,"$36,128,725 ","$165,733 ",25988,1982,16.13,4.83,25.98,193.1,IT Software & Services,Information%20Technology,21799.35
89,379,State Street,Ronald Philip O'Hanley III,"$14,113,660 ","$61,463 ",38784,1792,11.54,2.78,322.35,26.04,Diversified Financials,Financials,22962.86
90,383,Fiserv,Frank J. Bisignano,"$20,385,208 ","$70,276 ",44000,1984,16.23,1.33,76.25,63.16,Business Services & Supplies,Information%20Technology,29007.35
91,383,Regeneron Pharmaceuticals,Leonard S. Schleifer,"$6,470,514 ","$149,250 ",10368,1988,16.07,8.08,25.44,74.68,Drugs & Biotechnology,Health%20Care,4335.35
92,391,American Tower,Thomas A. Bartlett,"$16,114,574 ","$37,616 ",6378,1995,9.36,2.57,69.89,119.49,Diversified Financials,Real%20Estate,42839.68
93,405,Stryker,Kevin A. Lobo,"$16,359,898 ","$76,715 ",46000,1941,17.11,1.99,34.63,93.79,Health Care Equipment & Services,Health%20Care,21325.55
94,423,Lennar,Rick Beckwitt Jon Jaffe,"$34,045,217 ","$101,561 ",10753,1954,28.42,3.89,32.64,22.75,Construction,Consumer%20Discretionary,33521.94
95,426,Keurig Dr Pepper,Robert James Gamgort,"$7,772,521 ","$55,207 ",27500,2018,12.68,2.15,50.6,52.47,"Food, Drink & Tobacco",Consumer%20Staples,14078.87
96,429,Emerson Electric,Lal Karsanbhai,"$15,178,106 ","$58,101 ",86700,1890,18.55,2.75,26.96,55.6,Capital Goods,Industrials,26123.66
97,432,General Mills,Jeffrey L. Harmening,"$12,266,195 ","$62,454 ",35000,1928,18.62,2.3,31.14,43.66,"Food, Drink & Tobacco",Consumer%20Staples,19640.37
98,440,Norfolk Southern,Alan H. Shaw,"$14,016,942 ","$99,945 ",18100,1883,11.14,3.0,38.89,67.06,Transportation,Industrials,14024.66
99,441,Principal Financial Group,Daniel J. Houston,"$17,566,163 ","$75,348 ",18600,1879,14.26,1.71,304.66,18.25,Diversified Financials,Financials,23313.38
100,445,D.R. Horton,David V. Auld,"$29,996,862 ","$116,088 ",11788,1978,28.89,4.53,25.0,25.28,Construction,Consumer%20Discretionary,25839.76
101,445,L3Harris Technologies,Christopher Eugene Kubasik,"$15,697,749 ","$110,846 ",47000,2019,17.81,1.85,34.71,47.86,Aerospace & Defense,Industrials,14161.76
102,452,Waste Management,Jim Fish,"$13,057,363 ","$80,744 ",48500,1971,17.93,1.82,29.61,65.39,Business Services & Supplies,Industrials,16171.31
103,457,Xcel Energy,Robert Frenzel,"$8,350,364 ","$122,532 ",11321,1909,13.37,1.6,60.67,40.44,Utilities,Utilities,6814.84
104,458,Corteva,Chuck Magro,"$792,786 ","$85,572 ",21000,2019,15.66,1.76,42.34,41.92,Chemicals,Materials,926.45
105,459,Synchrony Financial,Brian Doubles,"$8,880,347 ","$50,316 ",18000,2003,11.37,4.13,95.27,19.23,Business Services & Supplies,Financials,17649.15
106,468,Kinder Morgan,Steven J. Kean,"$18,000,259 ","$115,388 ",10529,1997,16.6,1.03,69.14,43.42,Oil & Gas Operations,Energy,15599.77
107,487,CME Group,Terrence A. Duffy,"$22,924,737 ","$153,565 ",3480,1898,4.69,2.62,196.96,80.12,Diversified Financials,Financials,14928.36
108,493,Consolidated Edison,Timothy P. Cawley,"$10,342,198 ","$132,803 ",13871,1823,13.67,1.35,63.12,34.18,Utilities,Utilities,7787.62
109,505,Intuit,Sasan Goodarzi,"$27,174,857 ","$203,814 ",13500,1983,11.41,2.17,26.3,125.37,IT Software & Services,Information%20Technology,13333.17
110,506,Lam Research,Tim Archer,"$16,941,156 ","$119,322 ",14100,1980,16.72,4.54,16.59,64.61,Semiconductors,Information%20Technology,14197.85
111,508,Lincoln National,Dennis R. Glass,"$16,760,924 ","$84,240 ",10848,1968,19.18,1.4,371.28,11.2,Insurance,Financials,19896.63
112,509,Carrier Global,David L. Gitlin,"$14,892,815 ","$66,377 ",58000,1915,20.61,1.66,26.17,35.54,Capital Goods,Industrials,22436.71
113,510,DISH Network,W. Erik Carlson,"$2,895,882 ","$58,161 ",14500,1980,17.88,2.41,48.46,16.2,Media,Communication%20Services,4979.08
114,516,Ally Financial,Jeffrey J. Brown,"$15,545,746 ","$106,166 ",10500,1919,10.84,2.92,184.3,13.78,Banking,Financials,14642.87
115,522,Cummins,Tom Linebarger,"$15,645,919 ","$53,864 ",59900,1919,24.02,2.13,23.71,28.3,Capital Goods,Industrials,29047.08
116,525,Prologis,Hamid R. Moghadam,"$24,901,490 ","$114,183 ",2053,1991,4.83,3.72,59.78,126.34,Diversified Financials,Real%20Estate,21808.4
117,533,VMware,Rangarajan Govind Raghuram,"$32,344,107 ","$136,971 ",37500,1998,12.85,1.82,28.68,45.55,IT Software & Services,Information%20Technology,23613.84
118,537,CBRE Group,Bob Sulentic ,"$13,908,085 ","$57,349 ",105000,1906,27.75,1.84,22.07,27.96,Construction,Real%20Estate,24251.66
119,544,Loews,James S. Tisch,"$6,119,523 ","$53,781 ",10340,1954,14.67,1.58,76.16,15.94,Insurance,Financials,11378.6
120,549,Analog Devices,Vincent T. Roche,"$30,824,323 ","$46,141 ",24700,1965,8.44,1.28,51.22,81.24,Semiconductors,Information%20Technology,66804.63
121,551,TE Connectivity,Terrence R. Curtin,"$14,715,856 ","$24,975 ",89000,2007,15.22,2.45,21.41,40.01,Technology Hardware & Equipment,Information%20Technology,58922.35
122,556,Dollar Tree,Michael A. Witynski,"$10,249,698 ","$13,490 ",210565,1986,26.32,1.33,21.72,37.7,Retailing,Consumer%20Discretionary,75979.97
123,557,KeyCorp,Christopher M. Gorman,"$8,653,484 ","$73,571 ",17045,1958,7.45,2.45,181.22,19.06,Banking,Financials,11762.09
124,562,Best Buy,Corie Barry,"$15,631,157 ","$29,999 ",105000,1966,51.76,2.45,17.5,20.56,Retailing,Consumer%20Discretionary,52105.59
125,562,SVB Financial Group,Gregory W. Becker,"$9,922,132 ","$125,638 ",6567,1983,6.08,1.81,220.36,31.82,Banking,Financials,7897.4
126,564,Advanced Micro Devices,Lisa T. Su,"$29,498,107 ","$128,263 ",15500,1969,16.43,3.16,12.42,142.8,Semiconductors,Information%20Technology,22998.14
127,565,Markel,"Thomas S. Gayner Richard R. Whitt, III","$4,624,603 ","$42,786 ",20300,1930,12.84,2.47,39.36,19.89,Insurance,Financials,10808.68
128,567,Kimberly-Clark,Michael D. Hsu,"$12,009,162 ","$42,749 ",45000,1872,19.79,1.75,18.67,46.67,Household & Personal Products,Consumer%20Staples,28092.26
129,572,Citizens Financial Group,Bruce Winfield van,"$12,430,076 ","$82,418 ",17463,1828,6.88,2.13,192.1,20.76,Banking,Financials,15081.75
130,573,Devon Energy,Rick Muncrief,"$11,914,547 ","$179,900 ",1600,1971,13.69,2.78,21.02,38.57,Oil & Gas Operations,Energy,6622.87
131,575,Lumen Technologies,Jeffrey K. Storey,"$22,654,781 ","$75,984 ",36000,1968,19.69,2.03,57.99,11.16,IT Software & Services,Communication%20Services,29815.2
132,577,Regions Financial,"John M. Turner, Jr.","$13,444,577 ","$79,540 ",19626,1971,6.64,2.52,162.94,20.03,Banking,Financials,16902.91
133,579,Raymond James Financial,Paul C. Reilly,"$13,901,046 ","$106,782 ",20021,1962,10.43,1.54,68.46,21.49,Diversified Financials,Financials,13018.15
134,581,Illinois Tool Works,Ernest Scott Santi,"$20,787,622 ","$61,011 ",45000,1912,14.46,2.69,16.08,63.42,Capital Goods,Industrials,34071.92
135,583,Activision Blizzard,Robert A. Kotick,"$826,549 ","$117,207 ",9800,2008,8.8,2.7,25.06,61.39,Consumer Durables,Communication%20Services,705.2
136,589,Baxter International,José E. Almeida,"$15,634,734 ","$46,351 ",60000,1931,12.78,1.28,33.52,36.77,Health Care Equipment & Services,Health%20Care,33731.17
137,592,Fidelity National Financial,Michael J. Nolan,"$10,457,921 ","$83,831 ",28290,1847,15.64,2.42,58.13,11.58,Insurance,Financials,12475.0
138,592,Parker-Hannifin,Thomas L. Williams,"$18,448,169 ","$56,416 ",54640,1918,15.29,1.82,22.4,35.6,Capital Goods,Industrials,32700.24
139,596,Sysco,Kevin P. Hourican,"$13,656,506 ","$83,737 ",58000,1969,60.74,0.79,21.43,45.06,Food Markets,Consumer%20Staples,16308.81
140,600,M&T Bank,René F. Jones,"$6,868,174 ","$68,270 ",17569,1856,5.89,1.77,149.86,31.03,Banking,Financials,10060.31
141,601,Boston Scientific,Michael F. Mahoney,"$16,064,039 ","$68,891 ",41000,1979,11.89,1.04,32.23,62.63,Health Care Equipment & Services,Health%20Care,23318.05
142,602,Edison International,Pedro J. Pizarro,"$14,364,340 ","$175,717 ",13003,1886,14.9,0.78,74.74,27.27,Utilities,Utilities,8174.7
143,605,Entergy,Leo Denault,"$17,045,744 ","$135,272 ",12369,1913,11.7,1.12,59.45,25.1,Utilities,Utilities,12601.09
144,610,Stanley Black & Decker,James M. Loree,"$13,167,893 ","$56,016 ",71300,1843,16.83,1.69,28.18,21.35,Consumer Durables,Industrials,23507.38
145,612,Marriott International,Anthony Capuano,"$18,391,882 ","$36,505 ",120000,1927,13.86,1.1,25.55,58.74,"Hotels, Restaurants & Leisure",Consumer%20Discretionary,50381.82
146,613,Warner Bros. Discovery,David M. Zaslav,"$246,573,481 ","$82,964 ",11000,2022,12.18,1.02,34.43,49.92,Media,Communication%20Services,297205.39
147,615,Delta Air Lines,Ed Bastian,"$12,360,420 ","$70,240 ",83000,1925,35.1,0.52,73.75,28.01,Transportation,Industrials,17597.41
148,619,Northern Trust,Michael G. O'Grady,"$10,449,233 ","$72,300 ",21100,1889,6.57,1.53,183.89,22.08,Banking,Financials,14452.6
149,621,Eversource Energy,James J. Judge,"$6,467,078 ","$133,297 ",9227,1996,9.86,1.22,48.49,31.72,Utilities,Utilities,4851.63
150,631,Southwest Airlines,Robert E. Jordan,"$5,819,756 ","$84,872 ",55100,1967,15.79,0.98,38.17,27.78,Transportation,Industrials,6857.1
151,642,FirstEnergy,Steven E. Strah,"$10,714,062 ","$124,120 ",12395,1997,11.41,1.19,44.62,26.27,Utilities,Utilities,8632.02
152,648,Cincinnati Financial,Steven J. Johnston,"$6,490,767 ","$105,458 ",5166,1950,9.63,2.95,31.02,21.93,Insurance,Financials,6154.84
153,650,Cleveland-Cliffs,Lourenco Goncalves,"$24,494,731 ","$125,396 ",26000,1847,22.35,3.75,19.77,15.18,Materials,Materials,19533.9
154,658,Western Digital,David V. Goeckeler,"$32,137,338 ","$9,644 ",65600,1970,18.94,1.99,26.02,15.48,Technology Hardware & Equipment,Information%20Technology,333236.6
155,661,First Republic Bank,Michael J. Roffler,"$23,458,948 ","$162,300 ",6295,1985,5.52,1.54,187.12,28.21,Banking,Financials,14454.07
156,669,AutoZone,"William C. Rhodes, III","$14,330,010 ","$31,751 ",100000,1979,15.6,2.41,14.08,42.88,Retailing,Consumer%20Discretionary,45132.47
157,676,PG&E,Patricia K. Poppe,"$51,198,471 ","$201,157 ",26000,1995,20.64,-0.09,111.75,24.11,Utilities,Utilities,25452.0
158,677,Republic Services,Jon Vander Ark,"$7,925,408 ","$68,217 ",35000,1998,11.3,1.29,24.96,41.81,Business Services & Supplies,Industrials,11617.94
159,678,Ross Stores,Barbara Rentler,"$15,989,635 ","$10,806 ",100000,1982,18.92,1.72,14.62,36.35,Retailing,Consumer%20Discretionary,147969.97
160,679,WEC Energy Group,Scott Lauber,"$18,481,871 ","$122,530 ",6938,1981,8.32,1.3,39.86,32.8,Utilities,Utilities,15083.55
161,680,Cardinal Health,Mike Kaufmann,"$13,463,557 ","$63,906 ",47300,1971,171.29,0.56,43.68,17.06,Drugs & Biotechnology,Health%20Care,21067.75
162,681,CarMax,Bill Nash,"$13,689,123 ","$51,674 ",32647,1993,31.9,1.15,26.67,14.61,Retailing,Consumer%20Discretionary,26491.32
163,686,IQVIA,Ari Bousbib,"$28,615,851 ","$139,803 ",79000,1982,13.87,0.97,24.69,43.56,Drugs & Biotechnology,Health%20Care,20468.7
164,691,Ecolab,Christophe Beck,"$8,365,889 ","$52,339 ",47000,1923,12.73,1.13,21.21,50.16,Chemicals,Materials,15984.04
165,695,Global Payments,Jeffrey Steven Sloan,"$23,318,393 ","$56,202 ",25000,2000,8.52,0.97,45.28,37.87,Business Services & Supplies,Information%20Technology,41490.33
166,698,S&P Global,Douglas L. Peterson,"$16,143,770 ","$27,835 ",22850,1888,8.3,3.02,15.03,131.75,Business Services & Supplies,Financials,57998.1
167,700,Arch Capital Group,Marc Grandisson,"$9,336,013 ","$129,028 ",5200,1995,8.88,2.14,37.49,17.86,Insurance,Financials,7235.65
168,705,O'Reilly Automotive,Gregory D. Johnson,"$12,764,270 ","$28,113 ",83636,1957,13.33,2.16,12.39,46.92,Retailing,Consumer%20Discretionary,45403.44
169,706,Biogen,Michel Vounatsos,"$17,689,665 ","$163,551 ",9610,1978,10.35,1.56,23.88,30.86,Drugs & Biotechnology,Health%20Care,10815.99
170,709,The Mosaic Company,James Calvin O'Rourke,"$12,297,011 ","$24,013 ",12525,2004,12.36,1.63,22.04,24.17,Chemicals,Materials,51209.81
171,720,Fox,Lachlan Keith Murdoch,"$21,748,681 ","$91,803 ",9000,2015,13.59,1.44,22.88,21.51,Media,Communication%20Services,23690.6
172,722,Steel Dynamics,Mark D. Millet,"$10,999,918 ","$126,721 ",10640,1993,20.43,3.89,13.06,16.98,Materials,Materials,8680.42
